"subj" "block" "trial" "stim" "target" "resp" "acc" "rt" "ITI" "difficulty" "task" "session"
46 "14" 6 "g" "t" "n" 1 569 597 1 "two" "001"
46 "14" 7 "t" "g" "y" 0 518 1332 1 "two" "001"
46 "14" 8 "v" "t" "n" 1 585 1383 1 "two" "001"
46 "14" 9 "B" "v" "n" 1 636 1246 1 "two" "001"
46 "14" 10 "T" "b" "n" 1 752 869 1 "two" "001"
46 "14" 11 "t" "t" "y" 1 686 1072 1 "two" "001"
46 "14" 12 "G" "t" "n" 1 669 801 1 "two" "001"
46 "14" 13 "b" "g" "n" 1 668 1078 1 "two" "001"
46 "14" 14 "V" "b" "n" 1 585 579 1 "two" "001"
46 "14" 15 "G" "v" "n" 1 1019 1327 1 "two" "001"
46 "14" 16 "b" "g" "n" 1 586 1301 1 "two" "001"
46 "14" 17 "G" "b" "y" 0 769 560 1 "two" "001"
46 "14" 18 "t" "g" "n" 1 752 1182 1 "two" "001"
46 "14" 19 "b" "t" "n" 1 602 578 1 "two" "001"
46 "14" 20 "t" "b" "n" 1 752 633 1 "two" "001"
46 "15" 1 "G" NA "n" 1 752 1389 2 "two" "001"
46 "15" 2 "g" NA "n" 1 602 590 2 "two" "001"
46 "15" 3 "T" "g" "n" 1 602 519 2 "two" "001"
46 "15" 4 "T" "g" "n" 1 485 1495 2 "two" "001"
46 "15" 5 "t" "t" "y" 1 335 1030 2 "two" "001"
46 "15" 6 "V" "t" "n" 1 552 896 2 "two" "001"
46 "15" 7 "g" "t" "y" 0 819 628 2 "two" "001"
46 "15" 8 "B" "v" "n" 1 602 790 2 "two" "001"
46 "15" 9 "T" "g" "y" 0 835 1413 2 "two" "001"
46 "15" 10 "g" "b" "n" 1 801 727 2 "two" "001"
46 "15" 11 "T" "t" "y" 1 735 927 2 "two" "001"
46 "15" 12 "B" "g" "n" 1 569 935 2 "two" "001"
46 "15" 13 "V" "t" "y" 0 451 766 2 "two" "001"
46 "15" 14 "V" "b" "n" 1 418 649 2 "two" "001"
46 "15" 15 "B" "v" "y" 0 385 837 2 "two" "001"
46 "15" 16 "g" "v" "n" 1 552 1479 2 "two" "001"
46 "15" 17 "t" "b" "n" 1 335 1192 2 "two" "001"
46 "15" 18 "B" "g" "y" 0 419 890 2 "two" "001"
46 "15" 19 "T" "t" "n" 0 452 1327 2 "two" "001"
46 "15" 20 "V" "b" "y" 0 284 1354 2 "two" "001"
46 "16" 1 "b" NA "n" 1 952 1076 1 "two" "001"
46 "16" 2 "g" "b" "n" 1 803 1026 1 "two" "001"
46 "16" 3 "G" "g" "y" 1 736 1290 1 "two" "001"
46 "16" 4 "B" "g" "n" 1 869 511 1 "two" "001"
46 "16" 5 "V" "b" "n" 1 585 1457 1 "two" "001"
